Roll.No,Date,Class,Status
23E51A6601,2025-09-24,ML,A
23E51A6601,2025-09-24,BEFA,P
23E51A6601,2025-09-24,DV,P
23E51A6601,2025-09-24,SE,P
23E51A6601,2025-09-24,ACD,P
23E51A6601,2025-09-24,IDS,A
23E51A6601,2025-09-24,AR,P
23E51A6602,2025-09-24,ML,P
23E51A6602,2025-09-24,BEFA,P
23E51A6602,2025-09-24,DV,A
23E51A6602,2025-09-24,SE,P
23E51A6602,2025-09-24,ACD,P
23E51A6602,2025-09-24,IDS,A
23E51A6602,2025-09-24,AR,P
23E51A6603,2025-09-24,ML,P
23E51A6603,2025-09-24,BEFA,A
23E51A6603,2025-09-24,DV,P
23E51A6603,2025-09-24,SE,P
23E51A6603,2025-09-24,ACD,P
23E51A6603,2025-09-24,IDS,P
23E51A6603,2025-09-24,AR,P
23E51A6604,2025-09-24,ML,P
23E51A6604,2025-09-24,BEFA,P
23E51A6604,2025-09-24,DV,P
23E51A6604,2025-09-24,SE,P
23E51A6604,2025-09-24,ACD,P
23E51A6604,2025-09-24,IDS,P
23E51A6604,2025-09-24,AR,A
23E51A6605,2025-09-24,ML,P
23E51A6605,2025-09-24,BEFA,P
23E51A6605,2025-09-24,DV,P
23E51A6605,2025-09-24,SE,P
23E51A6605,2025-09-24,ACD,P
23E51A6605,2025-09-24,IDS,A
23E51A6605,2025-09-24,AR,P
23E51A6606,2025-09-24,ML,P
23E51A6606,2025-09-24,BEFA,A
23E51A6606,2025-09-24,DV,P
23E51A6606,2025-09-24,SE,P
23E51A6606,2025-09-24,ACD,A
23E51A6606,2025-09-24,IDS,P
23E51A6606,2025-09-24,AR,P
23E51A6607,2025-09-24,ML,P
23E51A6607,2025-09-24,BEFA,A
23E51A6607,2025-09-24,DV,P
23E51A6607,2025-09-24,SE,P
23E51A6607,2025-09-24,ACD,P
23E51A6607,2025-09-24,IDS,P
23E51A6607,2025-09-24,AR,A
23E51A6608,2025-09-24,ML,P
23E51A6608,2025-09-24,BEFA,P
23E51A6608,2025-09-24,DV,A
23E51A6608,2025-09-24,SE,P
23E51A6608,2025-09-24,ACD,P
23E51A6608,2025-09-24,IDS,P
23E51A6608,2025-09-24,AR,P
23E51A6609,2025-09-24,ML,P
23E51A6609,2025-09-24,BEFA,A
23E51A6609,2025-09-24,DV,P
23E51A6609,2025-09-24,SE,P
23E51A6609,2025-09-24,ACD,P
23E51A6609,2025-09-24,IDS,A
23E51A6609,2025-09-24,AR,P
23E51A6610,2025-09-24,ML,P
23E51A6610,2025-09-24,BEFA,P
